epoch              loss   RMSE_Etot_per_atom            RMSE_F              time
    1  1.0769010625e+02     1.6937749124e-02  7.8101111380e-01            7.8130
    2  3.8689687758e-03     9.7729411227e-05  1.7437402673e-02            5.7138
    3  3.4787183484e-03     9.5321519124e-05  9.3442684951e-03            5.7477
    4  4.0890402684e-03     1.0380985480e-04  8.1693597668e-03            5.6472
    5  4.4141769499e-03     1.0801802002e-04  7.6915118429e-03            5.6967
    6  4.3992854416e-03     1.0788481392e-04  7.4163535655e-03            5.6355
    7  4.7748556674e-03     1.1248808535e-04  7.2066785637e-03            5.6183
    8  4.7995954582e-03     1.1280853501e-04  7.0518728405e-03            5.6711
    9  4.7594645473e-03     1.1235258613e-04  6.9221652173e-03            5.6677
   10  4.8689637424e-03     1.1366973533e-04  6.8042432150e-03            5.6309
   11  4.8323370020e-03     1.1325115516e-04  6.7174244932e-03            5.6321
   12  4.8185072969e-03     1.1309855056e-04  6.6473168542e-03            5.6107
   13  4.8491558673e-03     1.1346808051e-04  6.6019611549e-03            5.6352
   14  4.7570175500e-03     1.1238187456e-04  6.5584000454e-03            5.6327
   15  4.8683648428e-03     1.1370682075e-04  6.5231484884e-03            5.6228
   16  4.8208248701e-03     1.1315098537e-04  6.4866341248e-03            5.6422
   17  4.8703819650e-03     1.1374012796e-04  6.4607277166e-03            5.6903
   18  4.8713318746e-03     1.1375493465e-04  6.4368971387e-03            5.6332
   19  4.8787756304e-03     1.1384837811e-04  6.3983706645e-03            5.6251
   20  4.8511536217e-03     1.1352482816e-04  6.3855869616e-03            5.6660
   21  4.8546782056e-03     1.1356901429e-04  6.3682796802e-03            5.7342
   22  4.8561133837e-03     1.1359071762e-04  6.3364031608e-03            5.7039
   23  4.8697276600e-03     1.1375361549e-04  6.3199248346e-03            5.6804
   24  4.8878879629e-03     1.1396943684e-04  6.3053586468e-03            5.7478
   25  4.8797462496e-03     1.1387624959e-04  6.2881438226e-03            5.7589
   26  4.8395812265e-03     1.1340506011e-04  6.2727835996e-03            5.6648
   27  4.8258488348e-03     1.1324532741e-04  6.2552616433e-03            5.7257
   28  4.8574059779e-03     1.1362050643e-04  6.2382950944e-03            5.6245
   29  4.8766010614e-03     1.1384822056e-04  6.2271957905e-03            5.6110
   30  4.8841328403e-03     1.1393918714e-04  6.2109306408e-03            5.6758
